Title,Birthyear,Occupational_group
Éamon_de_Valera,,office_holder
Éamon_Ó_Cuív,,office_holder
Éamonn_Lawlor,1951,other
Éanna_Ní_Lamhna,1950,other
Şaban_Özdemir,1981,author/journalist
Şafak_Pavey,1976,office_holder
Şahika_Ercümen,1985,other
Şakir_Eczacıbaşı,1929,other
Šaćir_Hot,1991,other
Žaneta_Jaunzeme-Grende,,office_holder
Žarko_Domljan,1934,politician
Žarko_Puhovski,1946,other
ʻAkilisi_Pōhiva,,office_holder
A'Shawn_Robinson,1995,other
A.B.C._Whipple,1918,other
"A.C._Greene,_Jr.",1923,author/journalist
A.C._Woolner,1878,other
A.E._Dick_Howard,1933,other
A.E._Muthunayagam,1939,academic
A.F.M._Abdur_Rahman,1951,other
A.F._Salahuddin_Ahmed,1924,other
A.G._Lafley,1947,other
A.J._Shannon,1980,athlete
A.K._Nazmul_Karim,1922,other
A.N._Rai,,other
A.T._Charlie_Johnson,,other
A.T._Frank,1966,office_holder
A.V._Balakrishnan,,other
A.V._Macan,1882,judiciary
A.Y.P._Garnett,1820,medical_field
A._A._Ewing,,other
A._A._Fredericks,1891,other
A._A._Khan_(academic),1947,other
A._A._Milne,,author/journalist
A._Aiyappan,1905,office_holder
A._Alfred_Taubman,1924,other
A._Amirthalingam,,politician
A._Arulpiragasam,,other
A._Austin_Tate,1894,other
A._B._Dille,,other
A._B._George,1829,judiciary
A._B._Masilamani,,other
A._B._Morris,1900,other
"A._B._Morrison,_Jr.",1878,other
A._B._Potter,1872,other
A._B._Rajendra,,office_holder
A._B._Stoddard,1967,other
A._B._Stoney,1892,other
A._B._Yehoshua,,author/journalist
A._Barr_Snively,1899,other
A._Bartlett_Giamatti,1938,other
A._Bernard_Ackerman,1936,other
A._Blaine_Bowman,,other
A._Boyd_Ferris,1923,office_holder
A._Brown_Moore,1911,judiciary
A._C._Dixon,1854,other
A._C._Grayling,,office_holder
A._C._Hoffman,,other
A._C._Jose,,office_holder
A._C._Muthiah,1940,other
A._Canagaratnam,,office_holder
A._Carl_Helmholz,1915,other
A._Cavour_Chapman,,politician
A._Cemal_Eringen,1921,other
A._Clifford_Jones,1921,office_holder
A._Craig_Copetas,1951,other
A._D._Kirwan,1904,office_holder
A._D._Roy,1920,other
A._Dale_%22Bud%22_Mayo,,other
A._David_Buckingham,1930,other
A._DeWade_Langley,,other
A._Dean_Bell,,other
A._E._Douglass,1867,other
A._E._Housman,,author/journalist
A._Edison_Stairs,1924,politician
A._Ekanayake_Gunasinha,,office_holder
A._Eugene_Haylett,,other
A._F._Holste,1874,other
A._F._K._Organski,1923,other
A._F._M._Ahsanuddin_Chowdhury,,office_holder
A._Felix_du_Pont,1879,other
"A._Felix_du_Pont,_Jr.",1905,other
A._G._Crowe,1948,business_person
A._G._K._Gokhale,1959,medical_field
A._G._Noorani,1930,office_holder
A._G._Scanlon,1890,other
A._Gnanathasan,,other
A._Hari_Reddi,1942,academic
A._J._B._Johnston,,author/journalist
A._J._Bernheim_Brush,,other
A._J._English,,athlete
A._J._Johnson_(linebacker),1991,other
A._J._M._Muzammil,,office_holder
A._J._M._Smith,,author/journalist
A._J._Mandani,1987,athlete
A._J._Mayers,1987,other
A._J._McNamara,1936,judiciary
A._J._Nowak,,other
A._J._P._Taylor,1906,other
A._J._Preller,,other
A._J._Ranasinghe,,other
A._J._Sturzenegger,1888,other
A._J._Wynder,1964,other
A._James_Gregor,,other
A._James_Kerley,,office_holder
A._James_Manchin,1927,office_holder
A._Jean_de_Grandpré,,office_holder
A._Jeyaratnam_Wilson,1928,other
A._Joe_Fish,1942,other
A._Joseph_DeNucci,,office_holder
A._K._A._Firoze_Noon,,politician
A._K._Antony,,office_holder
A._K._Fazlul_Huq,,office_holder
A._K._Huntington,1952,other
A._K._Jamil,1939,other
A._K._Shiva_Kumar,,other
A._Kanagasabai,,office_holder
A._Kenneth_Pye,1931,other
A._L._Abdul_Majeed,,politician
A._L._McRae,1861,other
A._L._Narayan,1887,other
A._L._Phillips,,other
A._L._Philpott,1919,office_holder
A._L._Strand,1894,office_holder
A._L._Swanson,,other
A._L._Williams_(American_football),1934,other
A._LeRoy_Greason,1922,office_holder
"A._Leon_Higginbotham,_Jr.",,other
A._Leonard_Allen,,politician
"A._Linwood_Holton,_Jr.",,office_holder
A._Lorne_Campbell,,office_holder
A._M._Harun-ar-Rashid,,academic
A._M._Khusro,1925,other
A._M._Mathai,1935,other
A._M._Miller,1861,other
A._M._Mubarak,1951,other
A._Maceo_Walker,1909,business_person
A._Maitland_Emmet,,other
A._Mitchell_Palmer,,office_holder
A._N._Hornby__AN_Hornby__1,,athlete
A._N._R._Robinson,,politician
A._N._S._Kulasinghe,1919,other
A._N._Sherwin-White,1911,other
A._O._Scott,1966,other
A._Oveta_Fuller,1955,other
"A._P._Hall,_Jr.",1880,other
A._P._Hamann,,office_holder
A._P._Herbert,,politician
A._P._J._Abdul_Kalam,,office_holder
A._P._Jayasuriya,,politician
A._P._Patro,1876,other
A._P._Tugwell,,office_holder
A._P._Tureaud,1899,judiciary
A._P._Venkateswaran,1930,other
A._Piatt_Andrew,,politician
A._Q._M._Badruddoza_Chowdhury,,office_holder
A._R._Ammons,,other
A._R._D._Prasad,1954,other
A._R._Kennedy,1876,other
A._R._VanCleave,1889,other
A._R._Venkatachalapathy,,author/journalist
A._Ralph_Mollis,1961,politician
A._Ranganadha_Rao,1930,academic
A._Ranganatha_Mudaliar,1879,other
A._Ray_Olpin,1898,office_holder
A._Raymond_Randolph,,office_holder
A._Richard_Caputo,1938,office_holder
A._Richard_Newton,1951,other
A._Ronald_Gallant,,other
A._S._%22Doc%22_Young,1919,other
A._S._Dalal,,office_holder
A._S._J._Carnahan,,politician
A._S._Jeffs,1871,other
A._S._P._Liyanage,,other
A._S._Rao,1914,other
A._Sabapathy,,office_holder
A._Seshayya_Sastri,1828,judiciary
A._Sivathanu_Pillai,1947,other
A._Stephen_Morse,,other
A._Sumru_Özsoy,,other
"A._T._%22Apple%22_Sanders,_Jr.",1926,office_holder
A._T._Ariyaratne,1931,other
A._T._Mann,1943,other
A._T._Moorthy,,office_holder
A._T._Myers,,other
A._Teeuw,1921,other
A._Thomas_McLellan,1949,office_holder
A._Thurairajah,,office_holder
A._V._Kulasingham,1890,other
A._Veluppillai,1936,other
A._Vernon_Randall,,other
A._W._Ehrsam,1876,other
A._W._F._Edwards,,academic
A._W._Jeffries,,other
A._W._Kjellstrand,1864,other
A._W._Mailvaganam,1906,other
A._W._Pryor,1928,other
A._W._Ristine,1878,other
A._W._Shepard,1865,other
A._Wallace_Tashima,1934,office_holder
A._William_Sweeney,1920,office_holder
AAMS_Arefin_Siddique,1953,other
AD_Singh,1981,other
Amina_Mohamed,,office_holder
Amina_Salum_Ali,1956,office_holder
Aminata_Nar_Diop,1983,athlete
Aminata_Touré,1962,office_holder
Aminatta_Forna,1964,author/journalist
Amine_Gemayel,,office_holder
Aminu_Bashir_Wali,,office_holder
Aminu_Timberlake,,athlete
Aminul_Hoque_(writer),,author/journalist
Amir_Abbas,,office_holder
Amir_Abo-Shaeer,1972,other
Amir_Aczel,,other
Amir_Alexander,,other
Amir_Amini,1984,athlete
Amir_Attaran,,other
Amir_Eshel,1959,office_holder
Amir_Faghri,1951,other
Amir_Farshad_Ebrahimi,1975,other
Amir_Garrett,1992,other
Amir_H._Jamal,,office_holder
Amir_Khadir,,office_holder
Amir_Mohebbian,1962,politician
Amir_Muqam,1963,office_holder
Amir_Omar,,office_holder
Amir_Syamsuddin,1941,office_holder
Amir_Ullah_Khan,,other
Amira_Hass,1956,other
Amiran_Revishvili,1956,other
Amirkhan_Mori,1961,other
